167410,17/11/2020,IA/N-0003765,14100 SparePart,66900 OtherRepMaintCost,,Maintenance at Power house,Himal Power Ltd (NPR),Dec 2020 [Mangsir 2077],Khimti JVC,,,KIRNE (N),Inv : Pelton Turbine : 0020.001.0008,Piece,1,2350
167411,26/11/2020,IA/N-0003766,14000 RawMaterialSemiManufacture,70001 DieselMeansTransport,,Hilux #8392,Himal Power Ltd (NPR),Dec 2020 [Mangsir 2077],Khimti JVC,,,KIRNE (N),Inv : Fuel : 1014.001.0002,Litre,55,85.84072727
167412,26/11/2020,IA/N-0003767,14000 RawMaterialSemiManufacture,70001 DieselMeansTransport,,Hilux #3483,Himal Power Ltd (NPR),Dec 2020 [Mangsir 2077],Khimti JVC,,,KIRNE (N),Inv : Fuel : 1014.001.0002,Litre,53,85.84075472
167413,12/4/2020,IA/N-0003768,14100 SparePart,70200 RepMaintMeansTransport,,Tractor,Himal Power Ltd (NPR),Dec 2020 [Mangsir 2077],Khimti JVC,,,KIRNE (N),Inv : Tractor : 0124.001.0002,Piece,2,2500
167414,12/4/2020,IA/N-0003769,14000 RawMaterialSemiManufacture,70001 DieselMeansTransport,,JCB,Himal Power Ltd (NPR),Dec 2020 [Mangsir 2077],Khimti JVC,,,KIRNE (N),Inv : Fuel : 1014.001.0002,Litre,34,85.84058824
167415,12/4/2020,IA/N-0003770,14000 RawMaterialSemiManufacture,70001 DieselMeansTransport,,Tractor,Himal Power Ltd (NPR),Dec 2020 [Mangsir 2077],Khimti JVC,,,KIRNE (N),Inv : Fuel : 1014.001.0002,Litre,30,85.84066667
167416,12/5/2020,IA/N-0003771,14000 RawMaterialSemiManufacture,66900 OtherRepMaintCost,,Maintenance at Power house,Himal Power Ltd (NPR),Dec 2020 [Mangsir 2077],Khimti JVC,,,KIRNE (N),Inv : Abrasive : Cutting : 1007.006.0003,Piece,8,110.62
167417,12/6/2020,IA/N-0003772,14100 SparePart,66030 RepMaintMachineTechPlantInstal,,Injector #5,Himal Power Ltd (NPR),Dec 2020 [Mangsir 2077],Khimti JVC,,,KIRNE (N),Inv : Pelton Turbine : 0020.001.0008,Piece,3,2350
167418,12/6/2020,IA/N-0003773,14100 SparePart,66030 RepMaintMachineTechPlantInstal,,Injector #7,Himal Power Ltd (NPR),Dec 2020 [Mangsir 2077],Khimti JVC,,,KIRNE (N),Inv : Pelton Turbine : 0020.001.0008,Piece,4,2350
167419,12/8/2020,IA/N-0003774,14100 SparePart,66030 RepMaintMachineTechPlantInstal,,Injector #5 & 7,Himal Power Ltd (NPR),Dec 2020 [Mangsir 2077],Khimti JVC,,,KIRNE (N),Inv : Pelton Turbine : 0020.001.0027,metre,1.2,84.75
167420,12/10/2020,IA/N-0003775,14000 RawMaterialSemiManufacture,70001 DieselMeansTransport,,Hilux #3483,Himal Power Ltd (NPR),Dec 2020 [Mangsir 2077],Khimti JVC,,,KIRNE (N),Inv : Fuel : 1014.001.0002,Litre,20,85.8405
167421,12/10/2020,IA/N-0003776,14000 RawMaterialSemiManufacture,66900 OtherRepMaintCost,,Maintenance at Power house,Himal Power Ltd (NPR),Dec 2020 [Mangsir 2077],Khimti JVC,,,KIRNE (N),Inv : Abrasive : Polishing : 1007.005.0007,Piece,2,700
167422,12/11/2020,IA/N-0003777,14000 RawMaterialSemiManufacture,70001 DieselMeansTransport,,Unit #1,Himal Power Ltd (NPR),Dec 2020 [Mangsir 2077],Khimti JVC,,,KIRNE (N),Inv : Fuel : 1014.001.0002,Litre,10,85.841
167423,14/12/2020,IA/N-0003778,14000 RawMaterialSemiManufacture,66900 OtherRepMaintCost,,Maintenance at Power house,Himal Power Ltd (NPR),Dec 2020 [Mangsir 2077],Khimti JVC,,,KIRNE (N),Inv : Adhesives : 1006.001.0002,Litre,1,575.22
167424,16/12/2020,IA/N-0003779,14000 RawMaterialSemiManufacture,66030 RepMaintMachineTechPlantInstal,,Unit #5,Himal Power Ltd (NPR),Jan 2021 [Paush 2077],Khimti JVC,,,KIRNE (N),Inv : Adhesives : 1006.001.0002,Litre,1,575.22
167425,17/12/2020,IA/N-0003780,14000 RawMaterialSemiManufacture,70001 DieselMeansTransport,,Hilux #3482,Himal Power Ltd (NPR),Jan 2021 [Paush 2077],Khimti JVC,,,KIRNE (N),Inv : Fuel : 1014.001.0002,Litre,34,85.84058824
167426,17/12/2020,IA/N-0003781,14000 RawMaterialSemiManufacture,70001 DieselMeansTransport,,Hilux #8392,Himal Power Ltd (NPR),Jan 2021 [Paush 2077],Khimti JVC,,,KIRNE (N),Inv : Fuel : 1014.001.0002,Litre,48,85.840625
167427,18/12/2020,IA/N-0003782,14100 SparePart,66040 RepMaintElectroTechPlantInstal,,Unit #1-5,Himal Power Ltd (NPR),Jan 2021 [Paush 2077],Khimti JVC,,,KIRNE (N),Inv : Generator : 0022.001.0038,metre,2,104.44
167428,18/12/2020,IA/N-0003783,14000 RawMaterialSemiManufacture,66900 OtherRepMaintCost,,Work shop use,Himal Power Ltd (NPR),Jan 2021 [Paush 2077],Khimti JVC,,,KIRNE (N),Inv : Abrasive : Cutting : 1007.006.0001,Piece,1,39.82
167429,19/12/2020,IA/N-0003784,14000 RawMaterialSemiManufacture,66900 OtherRepMaintCost,,Drinking water supply line,Himal Power Ltd (NPR),Jan 2021 [Paush 2077],Khimti JVC,,,KIRNE (N),Inv : Pipe Fitting : Nipple : 1001.004.0001,Piece,1,24
167430,20/12/2020,IA/N-0003785,14000 RawMaterialSemiManufacture,70001 DieselMeansTransport,,Hilux #3482,Himal Power Ltd (NPR),Jan 2021 [Paush 2077],Khimti JVC,,,KIRNE (N),Inv : Fuel : 1014.001.0002,Litre,10,85.841
167431,20/12/2020,IA/N-0003786,14000 RawMaterialSemiManufacture,70001 DieselMeansTransport,,JCB,Himal Power Ltd (NPR),Jan 2021 [Paush 2077],Khimti JVC,,,KIRNE (N),Inv : Fuel : 1014.001.0002,Litre,82,85.84073171
167432,20/12/2020,IA/N-0003787,14000 RawMaterialSemiManufacture,70001 DieselMeansTransport,,Tractor,Himal Power Ltd (NPR),Jan 2021 [Paush 2077],Khimti JVC,,,KIRNE (N),Inv : Fuel : 1014.001.0002,Litre,42,85.84071429
167433,21/12/2020,IA/N-0003788,14100 SparePart,66030 RepMaintMachineTechPlantInstal,,Primary cooling pump #1,Himal Power Ltd (NPR),Jan 2021 [Paush 2077],Khimti JVC,,,KIRNE (N),Inv : Cooling Water : 0093.001.0018,Piece,3,700
167434,21/12/2020,IA/N-0003789,14000 RawMaterialSemiManufacture,66900 OtherRepMaintCost,,Work shop use,Himal Power Ltd (NPR),Jan 2021 [Paush 2077],Khimti JVC,,,KIRNE (N),Inv : Abrasive : Cutting : 1007.006.0004,Piece,1,315
167435,22/12/2020,IA/N-0003790,14000 RawMaterialSemiManufacture,66900 OtherRepMaintCost,,Work shop use,Himal Power Ltd (NPR),Jan 2021 [Paush 2077],Khimti JVC,,,KIRNE (N),Inv : Abrasive : Cutting : 1007.006.0003,Piece,1,110.62
167436,26/12/2020,IA/N-0003791,14000 RawMaterialSemiManufacture,66900 OtherRepMaintCost,,Work shop use,Himal Power Ltd (NPR),Jan 2021 [Paush 2077],Khimti JVC,,,KIRNE (N),Inv : Enclosure : Panel Board : 2007.002.0002,Piece,1,390.81
167437,27/12/2020,IA/N-0003792,14100 SparePart,78100 LossInventory,,Oil drum leakage,Himal Power Ltd (NPR),Jan 2021 [Paush 2077],Khimti JVC,,,KIRNE (N),Inv : Turbine Governor : 0021.001.0057,Litre,50,436.1058
167438,27/12/2020,IA/N-0003793,14100 SparePart,70200 RepMaintMeansTransport,,JCB,Himal Power Ltd (NPR),Jan 2021 [Paush 2077],Khimti JVC,,,KIRNE (N),Inv : Wheel Loader : 0125.001.0034,Piece,1,12877.48
167439,27/12/2020,IA/N-0003794,14000 RawMaterialSemiManufacture,66900 OtherRepMaintCost,,Work shop use,Himal Power Ltd (NPR),Jan 2021 [Paush 2077],Khimti JVC,,,KIRNE (N),Inv : Abrasive : Cutting : 1007.006.0003,Piece,1,110.62
167440,28/12/2020,IA/N-0003795,14000 RawMaterialSemiManufacture,78100 LossInventory,,Damaged,Himal Power Ltd (NPR),Jan 2021 [Paush 2077],Khimti JVC,,,KIRNE (N),Inv : Adhesives : 1006.001.0003,Piece,3,815
167441,29/12/2020,IA/N-0003796,14100 SparePart,66030 RepMaintMachineTechPlantInstal,,Unit #3,Himal Power Ltd (NPR),Jan 2021 [Paush 2077],Khimti JVC,,,KIRNE (N),Inv : Turbine Governor : 0021.001.0034,Piece,1,7450
167442,29/12/2020,IA/N-0003797,14000 RawMaterialSemiManufacture,66900 OtherRepMaintCost,,Unit #1,Himal Power Ltd (NPR),Jan 2021 [Paush 2077],Khimti JVC,,,KIRNE (N),Inv : Adhesives : 1006.001.0002,Litre,1,575.22
167443,29/12/2020,IA/N-0003798,14000 RawMaterialSemiManufacture,70001 DieselMeansTransport,,Hilux #3023,Himal Power Ltd (NPR),Jan 2021 [Paush 2077],Khimti JVC,,,KIRNE (N),Inv : Fuel : 1014.001.0002,Litre,25,85.8408
